#Vernier Format 2
#Untitled.cmbl 7/28/2014 15:24:32 .
#Latest
#Wavelength	Intensity
#λ	I
#nm	rel
#
380	0.00124101036237
382	0.00136091358987
384	0.00195455506401
386	0.00184106690141
388	0.00205444503671
390	0.00266282682606
392	0.00322673778198
394	0.00338640230068
396	0.00397378814756
398	0.0046744429303
400	0.00609604399988
402	0.00664512265736
404	0.00728975044485
406	0.0079054403031
408	0.00858548164037
410	0.00785080225488
412	0.00890030809788
414	0.00988004924783
416	0.0109930465265
418	0.0120795342336
420	0.0132098504245
422	0.0146173872558
424	0.0155210398645
426	0.0166958422193
428	0.0179793304448
430	0.0198120659636
432	0.0219446699312
434	0.0240881340539
436	0.0264138093221
438	0.0288145781794
440	0.030508205902
442	0.031483697426
444	0.0329226679986
446	0.0342718230635
448	0.0358267308526
450	0.0375377112146
452	0.0393772933531
454	0.0427650547063
456	0.0456573299073
458	0.0488696592803
460	0.0537566279678
462	0.0582682130277
464	0.0615144213633
466	0.0654058645758
468	0.0693401581836
470	0.0719064263635
472	0.0752501568698
474	0.0793522601127
476	0.0850026606154
478	0.0904682361155
480	0.0977045228315
482	0.105335552582
484	0.113857536655
486	0.121844084718
488	0.13116948419
490	0.140166363965
492	0.149699944519
494	0.158253075651
496	0.166298629434
498	0.172667250454
500	0.178104140978
502	0.181423992634
504	0.184093347971
506	0.185978562998
508	0.188271590346
510	0.189795502847
512	0.192545112033
514	0.195888353495
516	0.200006865016
518	0.204816227439
520	0.211304917256
522	0.218373630427
524	0.226306552258
526	0.235577819589
528	0.248960701231
530	0.258748331846
532	0.268830670648
534	0.277529503243
536	0.284502431194
538	0.286644040321
540	0.28989626896
542	0.291065658101
544	0.290886128267
546	0.289466466511
548	0.29227744232
550	0.290252461817
552	0.288565765032
554	0.287774929874
556	0.288560857725
558	0.284998625617
560	0.287656884708
562	0.291957101467
564	0.297360484028
566	0.303440400299
568	0.310568557643
570	0.318553250711
572	0.326990039901
574	0.335770239342
576	0.343689130662
578	0.350226640586
580	0.355338923768
582	0.358144671863
584	0.359134986487
586	0.358368198816
588	0.355881914668
590	0.351967031058
592	0.347080483961
594	0.342078910281
596	0.340477964877
598	0.33609796645
600	0.333244140246
602	0.331170575725
604	0.329521990665
606	0.325638203524
608	0.326822803628
610	0.327309402665
612	0.328316918157
614	0.329579360615
616	0.33000543621
618	0.32872877774
620	0.326054211553
622	0.320543863207
624	0.311751994158
626	0.299818892654
628	0.284054972561
630	0.265153159004
632	0.243743948077
634	0.221497324744
636	0.197641661481
638	0.174022257186
640	0.151588785219
642	0.131677870993
644	0.112541737781
646	0.0963836311521
648	0.0829140031768
650	0.0711718818868
652	0.0608079547725
654	0.0522232043989
656	0.0452361110281
658	0.0388812338387
660	0.033760856131
662	0.0294154449375
664	0.0259810051531
666	0.0228434152337
668	0.0202534199754
670	0.0186079546805
672	0.0173468107186
674	0.0157191365165
676	0.0141232839184
678	0.0128485647624
680	0.0112502332159
682	0.00953242309779
684	0.00890742453503
686	0.0107313909844
688	0.0100236258968
690	0.0094142598867
692	0.00880067797785
694	0.00776916559085
696	0.00468742789855
698	0.00412603881662
700	0.00382974545016
702	0.00345790317752
704	0.00377645648955
706	0.00364087318469
708	0.00348192230267
710	0.00322259470327
712	0.00354883244899
714	0.00317673722242
716	0.00281854296392
718	0.00263669208624
720	0.00235139071769
722	0.00178012876735
724	0.00137696619938
726	0.0013252907782
728	0.00138415622312
730	0.00128721354692
732	0.00174284105893
734	0.00163685719616
736	0.00163631296196
738	0.00185386100442
740	0.00267806538384
742	0.00260994029214
744	0.00380938649168
746	0.00380765030791
748	0.00368050646589
750	0.0032765160487
752	0.00272496150884
754	0.00141868826679
756	0.00136203808505
758	0.00101196134803
760	0.001
762	0.001
764	0.00126739663257
766	0.00127473612909
768	0.00147996991447
770	0.00198136292408
772	0.00208147354707
774	0.00173775515194
776	0.00165249051538
778	0.00172179989137
780	0.001
782	0.001
784	0.001
786	0.001
788	0.001
790	0.001
792	0.001
794	0.001
796	0.001
798	0.001
800	0.001
802	0.001
804	0.001
806	0.001
808	0.001
810	0.001
812	0.00141212734274
814	0.00177896036111
816	0.0019489415674
818	0.00180136211419
820	0.00216565847554
822	0.001754999273
824	0.00142895315904
826	0.00122802178049
828	0.00125832642747
830	0.001
832	0.001
834	0.001
836	0.001
838	0.00115770989662
840	0.00118886757871
842	0.00133733237066
844	0.00115020285919
846	0.00117570685675
848	0.001
850	0.001
852	0.001
854	0.001
856	0.001
858	0.001
860	0.001
862	0.00110025978916
864	0.0015521849755
866	0.00169443323307
868	0.0018068340223
870	0.00183275030191
872	0.00209157801617
874	0.00213614389894
876	0.0023553438072
878	0.00250850248231
880	0.0029980165127
882	0.00358097895097
884	0.00377288666357
886	0.00434822872791
888	0.00490396850546
890	0.00547730664908
892	0.00580521925641
894	0.00653977336949
896	0.00732438826925
898	0.00800931523094
900	0.00854690255288
902	0.00908773009417
904	0.00937848256509
906	0.00939517752427
908	0.00953762672143
910	0.00922050681498
912	0.00896278289968
914	0.00914988448766
916	0.00868818334381
918	0.00831887061043
920	0.00815251124446
922	0.00790505003133
924	0.00702173491834
926	0.00654350745127
928	0.00598115473533
930	0.00541892247365
932	0.00492508413565
934	0.00437828206351
936	0.00438607545355
938	0.00434209760653
940	0.00376358102516
942	0.00375684763253
944	0.00356946461962
946	0.00305626271326
948	0.00260956305133
950	0.0025065385305
